tag,term
DO,do
DO,does
DO,did
DO,don't
DO,doesn't
DO,didn't
DO,doing
DO,done
HAVE,have
HAVE,has
HAVE,had
HAVE,having
HAVE,'ve
HAVE,'d
HAVE,haven't
HAVE,hasn't
HAVE,hadn't
BE,am
BE,is
BE,are
BE,was
BE,were
BE,being
BE,been
BE,'m
BE,'re
BE,isn't
BE,aren't
BE,wasn't
BE,weren't
MODAL,can
MODAL,may
MODAL,shall
MODAL,will
MODAL,'ll
MODAL,could
MODAL,might
MODAL,should
MODAL,would
MODAL,must
MODAL,can't
MODAL,won't
MODAL,couldn't
MODAL,mightn't
MODAL,shouldn't
MODAL,wouldn't
MODAL,mustn't
SUBJPRO,I
SUBJPRO,we
SUBJPRO,he
SUBJPRO,she
SUBJPRO,they
OBJPRO,me
OBJPRO,us
OBJPRO,him
OBJPRO,them
POSSPRO,my
POSSPRO,our
POSSPRO,your
POSSPRO,his
POSSPRO,their
POSSPRO,its
REFLEXPRO,myself
REFLEXPRO,ourselves
REFLEXPRO,himself
REFLEXPRO,themselves
REFLEXPRO,herself
REFLEXPRO,yourself
REFLEXPRO,yourselves
REFLEXPRO,itself
WHP,who
WHP,whom
WHP,whose
WHP,which
WHO,what
WHO,where
WHO,when
WHO,how
WHO,whether
WHO,why
WHO,whoever
WHO,whomever
WHO,whichever
WHO,wherever
WHO,whenever
WHO,whatever
ART,a
ART,an
ART,the
DEM,this
DEM,that
DEM,these
DEM,those
QUANPRO,everybody
QUANPRO,somebody
QUANPRO,anybody
QUANPRO,everyone
QUANPRO,someone
QUANPRO,anyone
QUANPRO,everything
QUANPRO,something
QUANPRO,anything
QUAN,each
QUAN,all
QUAN,every
QUAN,many
QUAN,much
QUAN,few
QUAN,several
QUAN,some
QUAN,any
CLP,.
CLP,!
CLP,?
CLP,:
CLP,;
CLP,-
PREP,against
PREP,amid
PREP,amidst
PREP,among
PREP,amongst
PREP,at
PREP,besides
PREP,between
PREP,by
PREP,despite
PREP,during
PREP,except
PREP,for
PREP,from
PREP,in
PREP,into
PREP,minus
PREP,of
PREP,off
PREP,on
PREP,onto
PREP,opposite
PREP,out
PREP,per
PREP,plus
PREP,pro
PREP,re
PREP,than
PREP,through
PREP,throughout
PREP,thru
PREP,to
PREP,toward
PREP,towards
PREP,upon
PREP,versus
PREP,via
PREP,with
PREP,without
CONJ,alternatively
CONJ,altogether
CONJ,consequently
CONJ,conversely
CONJ,eg
CONJ,e.g.
CONJ,else
CONJ,furthermore
CONJ,hence
CONJ,however
CONJ,i.e.
CONJ,instead
CONJ,likewise
CONJ,moreover
CONJ,namely
CONJ,nevertheless
CONJ,nonetheless
CONJ,notwithstanding
CONJ,otherwise
CONJ,rather
CONJ,similarly
CONJ,therefore
CONJ,thus
CONJ,viz
CONJ,in comparison
CONJ,in contrast
CONJ,in particular
CONJ,in addition
CONJ,in conclusion
CONJ,in consequence
CONJ,in sum
CONJ,in summary
CONJ,in any event
CONJ,in any case
CONJ,in other words
CONJ,for example
CONJ,for instance
CONJ,by contrast
CONJ,by comparison
CONJ,as a result
CONJ,as a consequence
CONJ,on the contrary
CONJ,on the other hand
SUAPUB,agree
SUAPUB,agreed
SUAPUB,agrees
SUAPUB,agreeing
SUA,arrange
SUA,arranged
SUA,arranges
SUA,arranging
SUA,ask
SUA,asked
SUA,asks
SUA,asking
SUA,beg
SUA,begged
SUA,begs
SUA,begging
SUA,command
SUA,commands
SUA,commanded
SUA,commanding
SUAPRV,decide
SUAPRV,decides
SUAPRV,decided
SUAPRV,deciding
SUA,demand
SUA,demanded
SUA,demands
SUA,demanding
SUA,grant
SUA,grants
SUA,granted
SUA,granting
SUAPUB,insist
SUAPUB,insists
SUAPUB,insisted
SUAPUB,insisting
SUA,instruct
SUA,instructs
SUA,instructed
SUA,instructing
SUA,ordain
SUA,ordains
SUA,ordained
SUA,ordaining
SUA,pledge
SUA,pledged
SUA,pledges
SUA,pledging
SUA,pronounce
SUA,pronounces
SUA,pronounced
SUA,pronouncing
SUA,propose
SUA,proposes
SUA,proposed
SUA,proposing
SUA,recommend
SUA,recommends
SUA,recommended
SUA,recommending
SUA,request
SUA,requests
SUA,requested
SUA,requesting
SUA,stipulate
SUA,stipulates
SUA,stipulated
SUA,stipulating
SUAPUB,suggest
SUAPUB,suggests
SUAPUB,suggested
SUAPUB,suggesting
SUA,urge
SUA,urges
SUA,urged
SUA,urging
PRV,anticipate
PRV,anticipates
PRV,anticipated
PRV,anticipating
PRV,assume
PRV,assumed
PRV,assumes
PRV,assuming
PRV,believe
PRV,believes
PRV,believed
PRV,believing
PRV,conclude
PRV,concludes
PRV,concluded
PRV,concluding
PRV,demonstrate
PRV,demonstrates
PRV,demonstrated
PRV,demonstrating
PRV,determine
PRV,determines
PRV,determined
PRV,determining
PRV,discover
PRV,discovers
PRV,discovered
PRV,discovering
PRV,doubt
PRV,doubts
PRV,doubted
PRV,doubting
PRV,estimate
PRV,estimates
PRV,estimated
PRV,estimating
PRV,fear
PRV,fears
PRV,feared
PRV,fearing
PRV,feel
PRV,feels
PRV,felt
PRV,feeling
PRV,find
PRV,finds
PRV,found
PRV,finding
PRV,forget
PRV,forgets
PRV,forgotten
PRV,forgot
PRV,forgetting
PRV,guess
PRV,guesses
PRV,guessed
PRV,guessing
PRV,hear
PRV,hears
PRV,heard
PRV,hearing
PRV,hope
PRV,hopes
PRV,hoped
PRV,hoping
PRV,imagine
PRV,imagines
PRV,imagined
PRV,imagining
PRV,imply
PRV,implied
PRV,implies
PRV,implying
PRV,indicate
PRV,indicates
PRV,indicated
PRV,indicating
PRV,infer
PRV,infers
PRV,inferred
PRV,inferring
PRV,know
PRV,knows
PRV,known
PRV,knew
PRV,knowing
PRV,learn
PRV,learns
PRV,learned
PRV,learning
PRV,mean
PRV,means
PRV,meant
PRV,meaning
PRV,notice
PRV,noticed
PRV,notices
PRV,noticing
PRV,prove
PRV,proved
PRV,proves
PRV,proven
PRV,proving
PRV,realize
PRV,realizes
PRV,realizing
PRV,realized
PRV,recognize
PRV,recognized
PRV,recognizes
PRV,recognizing
PRV,remember
PRV,remembered
PRV,remembers
PRV,remembering
PRV,reveal
PRV,reveals
PRV,revealed
PRV,revealing
PRV,see
PRV,sees
PRV,saw
PRV,seen
PRV,seeing
PRV,show
PRV,shows
PRV,showed
PRV,shown
PRV,showing
PRV,suppose
PRV,supposes
PRV,supposed
PRV,supposing
PRV,think
PRV,thinks
PRV,thought
PRV,thinking
PRV,understand
PRV,understands
PRV,understood
PRV,understanding
PRV,acknowledge
PUB,acknowledges
PUB,acknowledged
PUB,acknowledging
PUB,admit
PUB,admits
PUB,admitted
PUB,admitting
PUB,assert
PUB,asserts
PUB,asserted
PUB,asserting
PUB,claim
PUB,claims
PUB,claimed
PUB,claiming
PUB,complain
PUB,complains
PUB,complained
PUB,complaining
PUB,declare
PUB,declares
PUB,declared
PUB,declaring
PUB,deny
PUB,denies
PUB,denied
PUB,denying
PUB,explain
PUB,explains
PUB,explained
PUB,explaining
PUB,hint
PUB,hints
PUB,hinted
PUB,hinting
PUB,mention
PUB,mentioned
PUB,mentions
PUB,mentioning
PUB,proclaim
PUB,proclaims
PUB,proclaimed
PUB,proclaiming
PUB,promise
PUB,promises
PUB,promised
PUB,promising
PUB,protest
PUB,protests
PUB,protested
PUB,protesting
PUB,remark
PUB,remarks
PUB,remarked
PUB,remarking
PUB,reply
PUB,replied
PUB,replies
PUB,replying
PUB,report
PUB,reports
PUB,reported
PUB,reporting
PUB,say
PUB,says
PUB,said
PUB,saying
PUB,swear
PUB,swears
PUB,swore
PUB,swearing
PUB,sworn
PUB,write
PUB,writes
PUB,wrote
PUB,written
PUB,writing
YOU,you
HER,her
IT,it
BE,i'm
BE,you're
BE,we're
BE,they're
